"","full_name","position","team","targets","rec","rec_yards","air_yards","yac","td","adot","racr","ms_air","tgt_share","wopr","ppr"
"130","Aldrick Robinson","WR","ATL",31,19,314,390,76,2,12.6,0.81,0.1,0.07,0.18,62.4
"131","Deonte Thompson","WR","CHI",36,22,249,491,43,2,13.6,0.51,0.1,0.07,0.18,58.9
"132","Josh Bellamy","WR","CHI",38,19,282,614,49,1,16.2,0.46,0.14,0.09,0.23,56.9
"133","Paul Richardson","WR","SEA",36,21,288,492,96,1,13.7,0.59,0.12,0.08,0.2,56.3
"134","Brice Butler","WR","DAL",32,16,219,444,19,3,13.9,0.49,0.12,0.07,0.2,55.9
"135","C.J. Uzomah","TE","CIN",38,25,234,262,100,1,6.9,0.89,0.12,0.13,0.28,54.4
"136","Justin Hunter","WR","BUF",23,10,189,358,30,4,15.6,0.53,0.13,0.08,0.21,52.9
"137","Virgil Green","TE","DEN",37,22,237,255,101,1,6.9,0.93,0.08,0.1,0.21,51.7
"138","Levine Toilolo","TE","ATL",19,13,264,163,147,2,8.6,1.62,0.04,0.04,0.1,51.4
"139","Erik Swoope","TE","IND",22,15,297,253,134,1,11.5,1.17,0.07,0.05,0.13,50.7
"140","Jordan Taylor","WR","DEN",25,16,209,260,82,2,10.4,0.8,0.07,0.06,0.14,48.9
"141","Chester Rogers","WR","IND",34,19,273,401,51,0,11.8,0.68,0.1,0.07,0.17,46.3
"142","Andre Holmes","WR","OAK",25,14,126,212,26,3,8.5,0.59,0.05,0.04,0.1,44.6
"143","Geronimo Allison","WR","GB",22,12,202,294,50,2,13.4,0.69,0.11,0.08,0.19,44.2
"144","Charles Johnson","WR","MIN",37,20,232,501,70,0,13.5,0.46,0.14,0.07,0.21,43.2
"145","Mychal Rivera","TE","OAK",25,18,192,225,62,1,9,0.85,0.08,0.07,0.16,43.2
"146","Marcedes Lewis","TE","JAC",30,20,169,139,106,1,4.6,1.22,0.04,0.07,0.14,42.9
"147","Jalin Marshall","WR","NYJ",22,14,162,188,46,2,8.5,0.86,0.07,0.07,0.15,42.2
"148","Darrius Heyward-Bey","WR","PIT",19,6,114,410,18,2,21.6,0.28,0.15,0.07,0.21,41.4
"149","Ben Koyack","TE","JAC",24,19,161,152,45,1,6.3,1.06,0.05,0.06,0.12,41.1
"150","Eric Decker","WR","NYJ",21,9,194,333,30,2,15.9,0.58,0.33,0.19,0.51,40.4
